State/UT,Confirmed,Recovered,Deaths,report_date
247,West Bengal,2,0,0,2020-03-20
248,Andhra Pradesh,3,0,0,2020-03-21
249,Chhattisgarh,1,0,0,2020-03-21
250,Delhi,26,5,1,2020-03-21
251,Gujarat,7,0,0,2020-03-21
252,Haryana,17,0,0,2020-03-21
253,Himachal Pradesh,2,0,0,2020-03-21
254,Karnataka,15,1,1,2020-03-21
255,Kerala,40,3,0,2020-03-21
256,Madhya Pradesh,4,0,0,2020-03-21
257,Maharashtra,63,0,1,2020-03-21
258,Odisha,2,0,0,2020-03-21
259,Puducherry,1,0,0,2020-03-21
260,Punjab,13,0,1,2020-03-21
261,Rajasthan,17,3,0,2020-03-21
262,Tamil Nadu,3,1,0,2020-03-21
263,Telengana,21,1,0,2020-03-21
264,Chandigarh,1,0,0,2020-03-21
265,Jammu and Kashmir,4,0,0,2020-03-21
266,Ladakh,13,0,0,2020-03-21
267,Uttar Pradesh,24,9,0,2020-03-21
268,Uttarakhand,3,0,0,2020-03-21
269,West Bengal,3,0,0,2020-03-21
270,Andhra Pradesh,5,0,0,2020-03-22
271,Bihar,2,0,1,2020-03-22
272,Chhattisgarh,1,0,0,2020-03-22
273,Delhi,29,5,1,2020-03-22
274,Gujarat,18,0,1,2020-03-22
275,Haryana,21,0,0,2020-03-22
276,Himachal Pradesh,2,0,0,2020-03-22
277,Karnataka,26,2,1,2020-03-22
278,Kerala,52,3,0,2020-03-22
279,Madhya Pradesh,4,0,0,2020-03-22
280,Maharashtra,67,0,2,2020-03-22
281,Odisha,2,0,0,2020-03-22
282,Puducherry,1,0,0,2020-03-22
283,Punjab,21,0,1,2020-03-22
284,Rajasthan,24,3,0,2020-03-22
285,Tamil Nadu,7,1,0,2020-03-22
286,Telengana,22,1,0,2020-03-22
287,Chandigarh,5,0,0,2020-03-22
288,Jammu and Kashmir,4,0,0,2020-03-22
289,Ladakh,13,0,0,2020-03-22
290,Uttar Pradesh,27,9,0,2020-03-22
291,Uttarakhand,3,0,0,2020-03-22
292,West Bengal,4,0,0,2020-03-22
293,Andhra Pradesh,7,0,0,2020-03-23
294,Bihar,2,0,1,2020-03-23
295,Chhattisgarh,1,0,0,2020-03-23
296,Delhi,29,5,1,2020-03-23
297,Gujarat,29,0,1,2020-03-23
298,Haryana,26,0,0,2020-03-23
299,Himachal Pradesh,2,0,0,2020-03-23
300,Karnataka,33,2,1,2020-03-23
301,Kerala,67,3,0,2020-03-23
302,Madhya Pradesh,6,0,0,2020-03-23
303,Maharashtra,74,0,2,2020-03-23
304,Odisha,2,0,0,2020-03-23
305,Puducherry,1,0,0,2020-03-23
306,Punjab,21,0,1,2020-03-23
307,Rajasthan,28,3,0,2020-03-23
308,Tamil Nadu,9,1,0,2020-03-23
